id;nombre;apellido;mail;password;tipo_usuario
1;Ordenador;Principado Datos;no-volátil Investigación;mano;Bacon
2;invoice visionary Ladrillo;Guinea-Bisau Hormigon indexing;override calculate;Teclado Market;Azul 1080p aplicación
3;reintermediate Pelota;Adelante invoice Oficial;Avenida;Madera;override fidelidad Account
4;el;payment Bebes;Pantalones overriding Guapo;Fácil Juguetería;SCSI Money bus
5;Configurable hacking;Creativo;Cambridgeshire;Organizado Bedfordshire;enterprise Relacciones
6;dynamic Personal channels;Acero asimétrica Andalucía;Aragón Asistente withdrawal;Cambridgeshire Fácil;Loan Acero Práctico
7;Amarillo;Money cross-platform Salida;Decoración;Hormigon;Valenciana Ingeniero
8;Parque Madera;Castilla orchestrate deliver;de;repurpose;Comunicaciones
9;Caserio invoice Pequeño;Futuro;redundant;Berkshire;no-volátil
10;Operativo Optimización;cutting-edge Guarani;leverage intangible invoice;IB Account Savings;frictionless Soluciones
